Source,Target,Type,Id,Label,timeset,Weight
http://www.wikidata.org/entity/Q21506511,http://www.wikidata.org/entity/Q99411928,Undirected,32359,,,8
http://www.wikidata.org/entity/Q21506537,http://www.wikidata.org/entity/Q5696973,Undirected,32360,,,2
http://www.wikidata.org/entity/Q21506537,http://www.wikidata.org/entity/Q6113453,Undirected,32361,,,16
http://www.wikidata.org/entity/Q21506537,https://orcid.org/0000-0001-6614-4216,Undirected,32362,,,14
http://www.wikidata.org/entity/Q21506537,https://orcid.org/0000-0003-2224-6821,Undirected,32363,,,2
http://www.wikidata.org/entity/Q21506545,http://www.wikidata.org/entity/Q2567402,Undirected,32364,,,44
http://www.wikidata.org/entity/Q21506545,http://www.wikidata.org/entity/Q553714,Undirected,32365,,,22
http://www.wikidata.org/entity/Q21506629,http://www.wikidata.org/entity/Q21513956,Undirected,32366,,,6
http://www.wikidata.org/entity/Q21506629,http://www.wikidata.org/entity/Q21610818,Undirected,32367,,,10
http://www.wikidata.org/entity/Q21506629,http://www.wikidata.org/entity/Q622276,Undirected,32368,,,8
http://www.wikidata.org/entity/Q21506629,http://www.wikidata.org/entity/Q720666,Undirected,32369,,,14
http://www.wikidata.org/entity/Q21506834,http://www.wikidata.org/entity/Q21510911,Undirected,32370,,,2
http://www.wikidata.org/entity/Q21506834,http://www.wikidata.org/entity/Q21517996,Undirected,32371,,,6
http://www.wikidata.org/entity/Q21506834,http://www.wikidata.org/entity/Q5318116,Undirected,32372,,,2
http://www.wikidata.org/entity/Q21507043,http://www.wikidata.org/entity/Q2590065,Undirected,32373,,,4
http://www.wikidata.org/entity/Q21507043,http://www.wikidata.org/entity/Q33818826,Undirected,32374,,,2960
http://www.wikidata.org/entity/Q21507043,http://www.wikidata.org/entity/Q509742,Undirected,32375,,,1826
http://www.wikidata.org/entity/Q21507043,http://www.wikidata.org/entity/Q5703142,Undirected,32376,,,384
http://www.wikidata.org/entity/Q21507043,http://www.wikidata.org/entity/Q6167550,Undirected,32377,,,2
http://www.wikidata.org/entity/Q21507043,http://www.wikidata.org/entity/Q67145760,Undirected,32378,,,2
