"","person_id_1","person_id_2","records"
"1512","http://www.wikidata.org/entity/Q19002242","http://www.wikidata.org/entity/Q21611707",366
"1513","http://www.wikidata.org/entity/Q19002242","http://www.wikidata.org/entity/Q2857141",2
"1514","http://www.wikidata.org/entity/Q19002242","http://www.wikidata.org/entity/Q4368181",2
"1515","http://www.wikidata.org/entity/Q19002242","http://www.wikidata.org/entity/Q4524504",2
"1516","http://www.wikidata.org/entity/Q19002242","http://www.wikidata.org/entity/Q60816867",2
"1517","http://www.wikidata.org/entity/Q19003091","http://www.wikidata.org/entity/Q2983586",112
"1518","http://www.wikidata.org/entity/Q19003091","http://www.wikidata.org/entity/Q4105706",12
"1519","http://www.wikidata.org/entity/Q19003327","http://www.wikidata.org/entity/Q5057079",2
"1520","http://www.wikidata.org/entity/Q19004108","http://www.wikidata.org/entity/Q68731",2
"1521","http://www.wikidata.org/entity/Q1905130","http://www.wikidata.org/entity/Q21393797",8
"1522","http://www.wikidata.org/entity/Q1905130","http://www.wikidata.org/entity/Q5394922",14
"1523","http://www.wikidata.org/entity/Q19060225","http://www.wikidata.org/entity/Q21513543",6
"1524","http://www.wikidata.org/entity/Q19060225","http://www.wikidata.org/entity/Q5744270",228
"1525","http://www.wikidata.org/entity/Q19060876","http://www.wikidata.org/entity/Q4468157",78
"1526","http://www.wikidata.org/entity/Q19060876","https://orcid.org/0000-0001-7698-3945",14
"1527","http://www.wikidata.org/entity/Q19060997","http://www.wikidata.org/entity/Q2504754",2
"1528","http://www.wikidata.org/entity/Q19115006","http://www.wikidata.org/entity/Q21341655",14
"1529","http://www.wikidata.org/entity/Q19115006","http://www.wikidata.org/entity/Q61857482",2
"1530","http://www.wikidata.org/entity/Q191963","http://www.wikidata.org/entity/Q21339833",2
"1531","http://www.wikidata.org/entity/Q1922675","http://www.wikidata.org/entity/Q49426",66
"1532","http://www.wikidata.org/entity/Q192428","http://www.wikidata.org/entity/Q600826",4
"1533","http://www.wikidata.org/entity/Q192442","http://www.wikidata.org/entity/Q5040009",2
"1534","http://www.wikidata.org/entity/Q19345770","http://www.wikidata.org/entity/Q3277170",54
"1535","http://www.wikidata.org/entity/Q19345770","http://www.wikidata.org/entity/Q5230887",4
"1536","http://www.wikidata.org/entity/Q19355834","http://www.wikidata.org/entity/Q6215475",4824
"1537","http://www.wikidata.org/entity/Q19359323","http://www.wikidata.org/entity/Q347356",180
"1538","http://www.wikidata.org/entity/Q19359323","http://www.wikidata.org/entity/Q6163953",4
"1539","http://www.wikidata.org/entity/Q19359323","http://www.wikidata.org/entity/Q6286659",2
"1540","http://www.wikidata.org/entity/Q19365180","http://www.wikidata.org/entity/Q20741942",28
"1541","http://www.wikidata.org/entity/Q19365180","http://www.wikidata.org/entity/Q21340804",80
"1542","http://www.wikidata.org/entity/Q19365180","http://www.wikidata.org/entity/Q61857482",7474
"1543","http://www.wikidata.org/entity/Q19365180","http://www.wikidata.org/entity/Q65617363",114
"1544","http://www.wikidata.org/entity/Q19365180","https://orcid.org/0000-0002-0589-8791",2
"1545","http://www.wikidata.org/entity/Q19365180","https://orcid.org/0000-0002-3407-4978",282
"1546","http://www.wikidata.org/entity/Q1937128","http://www.wikidata.org/entity/Q21505882",2
"1547","http://www.wikidata.org/entity/Q1937128","http://www.wikidata.org/entity/Q21518368",4
"1548","http://www.wikidata.org/entity/Q1937128","http://www.wikidata.org/entity/Q21522469",134
"1549","http://www.wikidata.org/entity/Q1937128","http://www.wikidata.org/entity/Q5711053",24
"1550","http://www.wikidata.org/entity/Q19465131","http://www.wikidata.org/entity/Q21338717",60
"1551","http://www.wikidata.org/entity/Q19465131","http://www.wikidata.org/entity/Q21609136",16
"1552","http://www.wikidata.org/entity/Q19465131","http://www.wikidata.org/entity/Q2590065",2
"1553","http://www.wikidata.org/entity/Q19521880","http://www.wikidata.org/entity/Q957519",2
"1554","http://www.wikidata.org/entity/Q19599971","http://www.wikidata.org/entity/Q5884115",128
"1555","http://www.wikidata.org/entity/Q19599971","http://www.wikidata.org/entity/Q7087177",2
"1556","http://www.wikidata.org/entity/Q19599971","https://orcid.org/0000-0003-3754-1452",10
"1557","http://www.wikidata.org/entity/Q19599971","https://orcid.org/0000-0003-4851-015X",50
"1558","http://www.wikidata.org/entity/Q19616428","http://www.wikidata.org/entity/Q1999131",538
"1559","http://www.wikidata.org/entity/Q19616428","http://www.wikidata.org/entity/Q21505273",120
"1560","http://www.wikidata.org/entity/Q19616428","http://www.wikidata.org/entity/Q9005368",74
"1561","http://www.wikidata.org/entity/Q19616428","http://www.wikidata.org/entity/Q9051187",284
"1562","http://www.wikidata.org/entity/Q19616428","https://orcid.org/0000-0001-9785-1538",2
"1563","http://www.wikidata.org/entity/Q19628641","http://www.wikidata.org/entity/Q27901775",4
"1564","http://www.wikidata.org/entity/Q19706414","http://www.wikidata.org/entity/Q4349563",6
"1565","http://www.wikidata.org/entity/Q19845252","https://orcid.org/0000-0002-6321-9398",2
"1566","http://www.wikidata.org/entity/Q19865330","http://www.wikidata.org/entity/Q2506718",420
"1567","http://www.wikidata.org/entity/Q19865330","http://www.wikidata.org/entity/Q55014088",2
"1568","http://www.wikidata.org/entity/Q19867864","http://www.wikidata.org/entity/Q2911375",2
"1569","http://www.wikidata.org/entity/Q19877827","http://www.wikidata.org/entity/Q2067524",2
"1570","http://www.wikidata.org/entity/Q19878670","http://www.wikidata.org/entity/Q3822242",2
"1571","http://www.wikidata.org/entity/Q19878670","http://www.wikidata.org/entity/Q4105706",2
"1572","http://www.wikidata.org/entity/Q1992448","http://www.wikidata.org/entity/Q22113150",4
